product_name,lowest_price,highest_price,min amount,min_amount
Jiangsu Corona DS928BB customized rc car robot digital - servo,2.94,3.67, 1 , 1 Piece (Min. Order) 
2.4G HOTTEST! 1/18 scale rc buggy rc car,6.8,8, 1 , 1 Carton (Min. Order) 
A47-13 Soba toys 3.2M 1 43 scale rc tracked vehicle cars toy vehicle slot track,8.51,9.13, 18, 18 Boxes (Min. Order) 
RC special toy Car with light and music usb line,3.49,3.88, 1 , 1 Box (Min. Order) 
2018 Best Sellers High Speed RC Rock Climbing Car Toy RC Rock Crawler 1/10 RC Car,16.61,20.19, 6 , 6 Pieces (Min. Order) 
Speed racing 1:12 Scale Four-wheel drive Electric Independent Suspension RC Car high-speed,13.5,15.5, 1 , 1 Piece (Min. Order) 
Racing Electric Truck with 2.4GHz Radio 1/10 High Speed Scale RC Car,13.5,15.5, 1 , 1 Piece (Min. Order) 
2019 RC Rock Climbing Car Toy RC Rock Crawler 1/10 RC Car,16.49,20.09, 1 , 1 Piece (Min. Order) 
S911 1:12 scale SUV Waterproof 2.4Ghz rc car .4G Remote racing car toys,1,29, 1 , 1 Piece (Min. Order) 
New Item 2.4G High Power 1/10 Nitro RC Climbing Car,23.01,28.76, 30, 30 Boxes (Min. Order) 
New WIFI FPV Racing Video Car 1:16 Scale 2.4G High Speed Remote Control RC Car With 720P HD Camera Buggy Off Road Car toys,23.59,24.99, 60, 60 Boxes (Min. Order) 
1 : 24 2.4GHz 4WD Off Road Electric RC Monster Truck BG1510B High Speed rc car,29.88,30, 12, 12 Pieces (Min. Order) 
2.4g 4WD rock crawler toy RTR fast rc car with 1:18 scale,7.96,11.49, 1 , 1 Piece (Min. Order) 
